system,dataset,attack,condition,metric,value,notes
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,mean_reciprocal_rank,0.6666666666666666,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,evaluated_sessions,12,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,average_ordering_accuracy,0.5,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,pairwise_ordering_accuracy,1.0,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_precision,0.4924603174603175,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_recall,1.0,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_f1,0.6562998405103669,
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,records,576,CIKM revision experiment.
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,users,48,CIKM revision experiment.
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,sessions,192,CIKM revision experiment.
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,nodes,162,CIKM revision experiment.
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,edges,2304,CIKM revision experiment.
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,nodes,162,CIKM revision experiment.
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,edges,2304,CIKM revision experiment.
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,sessions,192,CIKM revision experiment.
graphmemshield,enterprise_health_finance,cross_session_probe,sqlite_property_graph,leaked_edges,9,CIKM revision experiment.
graphmemshield,enterprise_health_finance,backend,kuzu_property_graph,available,False,CIKM revision experiment.
graphmemshield,enterprise_health_finance,backend,kuzu_property_graph,status,kuzu package unavailable,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,leakage_events,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,utility_retention,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,leaked_edges,1,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,leakage_events,1,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,utility_retention,0.1925,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,leaked_edges,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,leakage_events,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,utility_retention,0.3819,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,leakage_events,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,utility_retention,0.6667,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,leakage_events,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,utility_retention,0.9048,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,baseline_leaked_edges,9,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,baseline_retrieved_edges,1956,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,bounded_b5_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,bounded_b5_retrieved_edges,488,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,baseline_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,baseline_retrieved_edges,2304,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,bounded_b5_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,bounded_b5_retrieved_edges,774,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,baseline_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,baseline_retrieved_edges,2304,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,bounded_b5_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,bounded_b5_retrieved_edges,777,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,query_count,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,retrieval_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,response_leaked_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,pipeline_ms,48.7657,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,query_count,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,retrieval_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,response_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,response_leaked_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,pipeline_ms,2.8826,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,query_count,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,retrieval_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,response_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,response_leaked_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,pipeline_ms,14.3935,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,corrupted_sensitive_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,retrieval_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,response_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,response_leaked_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,corrupted_sensitive_edges,1,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,retrieval_leaked_edges,4,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,response_leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,response_leaked_terms,4,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,corrupted_sensitive_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,retrieval_leaked_edges,5,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,response_leaked_terms,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.50,corrupted_sensitive_edges,5,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.50,retrieval_leaked_edges,5,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.50,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.50,response_leaked_terms,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_template,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_template,retrieval_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_template,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_template,response_leaked_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_local_abstractive,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_local_abstractive,retrieval_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_local_abstractive,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_local_abstractive,response_leaked_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_evidence_dump,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_evidence_dump,retrieval_leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_evidence_dump,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,baseline_evidence_dump,response_leaked_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_template,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_template,retrieval_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_template,response_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_template,response_leaked_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_local_abstractive,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_local_abstractive,retrieval_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_local_abstractive,response_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_local_abstractive,response_leaked_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_evidence_dump,adaptive_queries,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_evidence_dump,retrieval_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_evidence_dump,response_leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,strong_generator,bounded_b5_evidence_dump,response_leaked_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,sydney_hotel_cloudvendor,baseline_relevant_edges,1152,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,sydney_hotel_cloudvendor,defended_relevant_edges,768,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,sydney_hotel_cloudvendor,precision,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,sydney_hotel_cloudvendor,recall,0.6667,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,sydney_hotel_cloudvendor,f1,0.8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,diabetes_clinic_appointment,baseline_relevant_edges,1152,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,diabetes_clinic_appointment,defended_relevant_edges,528,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,diabetes_clinic_appointment,precision,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,diabetes_clinic_appointment,recall,0.4583,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,diabetes_clinic_appointment,f1,0.6286,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,payrollbank_vendor,baseline_relevant_edges,1152,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,payrollbank_vendor,defended_relevant_edges,144,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,payrollbank_vendor,precision,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,payrollbank_vendor,recall,0.125,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,payrollbank_vendor,f1,0.2222,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,project-a_vendor,baseline_relevant_edges,1152,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,project-a_vendor,defended_relevant_edges,144,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,project-a_vendor,precision,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,project-a_vendor,recall,0.125,CIKM revision experiment.
graphmemshield,enterprise_health_finance,utility_quality,project-a_vendor,f1,0.2222,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,leaked_edges_mean,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,leaked_edges_ci95_low,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,leaked_edges_ci95_high,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,utility_mean,0.0011,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,utility_ci95_low,0.0004,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_0,utility_ci95_high,0.0018,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,leaked_edges_mean,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,leaked_edges_ci95_low,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,leaked_edges_ci95_high,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,utility_mean,0.1925,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,utility_ci95_low,0.1925,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_1,utility_ci95_high,0.1925,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,leaked_edges_mean,2.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,leaked_edges_ci95_low,2.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,leaked_edges_ci95_high,2.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,utility_mean,0.3819,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,utility_ci95_low,0.3819,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_2,utility_ci95_high,0.3819,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,leaked_edges_mean,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,leaked_edges_ci95_low,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,leaked_edges_ci95_high,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,utility_mean,0.6667,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,utility_ci95_low,0.6667,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_5,utility_ci95_high,0.6667,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,leaked_edges_mean,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,leaked_edges_ci95_low,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,leaked_edges_ci95_high,3.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,utility_mean,0.9048,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,utility_ci95_low,0.9048,CIKM revision experiment.
graphmemshield,enterprise_health_finance,bounded_sharing_multiseed,budget_10,utility_ci95_high,0.9048,CIKM revision experiment.
graphmemshield,enterprise_health_finance,adaptive_probe,fixed_budget_6,leaked_edges,9,CIKM revision experiment.
graphmemshield,enterprise_health_finance,adaptive_probe,fixed_budget_6,query_count,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,adaptive_probe,adaptive_budget_6,leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,adaptive_probe,adaptive_budget_6,query_count,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,llm_adaptive_probe,openai,status,skipped_ModuleNotFoundError,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_template,response_chars,59468,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_template,leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_template,leaked_secret_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_local_abstractive,response_chars,244,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_local_abstractive,leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,baseline_local_abstractive,leaked_secret_terms,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_template,response_chars,29,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_template,leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_template,leaked_secret_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_local_abstractive,response_chars,59,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_local_abstractive,leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b0_local_abstractive,leaked_secret_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_template,response_chars,12772,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_template,leaked_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_template,leaked_secret_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_local_abstractive,response_chars,157,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_local_abstractive,leaked_edges,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,bounded_b5_local_abstractive,leaked_secret_terms,0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,blackbox_response,openai,status,skipped_RuntimeError,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,baseline,lexical_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,baseline,semantic_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,baseline,lexical_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,baseline,semantic_terms,8,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,bounded_b5,lexical_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,bounded_b5,semantic_edges,3,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,bounded_b5,lexical_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,semantic_response_leakage,bounded_b5,semantic_terms,2,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,cosine,evaluated_users,24,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,cosine,top1_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,cosine,top3_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,cosine,mrr,0.0165,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,wl_kernel,evaluated_users,24,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,wl_kernel,top1_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,wl_kernel,top3_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,wl_kernel,mrr,0.0137,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,graph_edit,evaluated_users,24,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,graph_edit,top1_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,graph_edit,top3_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,graph_edit,mrr,0.015,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,embedding,evaluated_users,24,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,embedding,top1_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,embedding,top3_accuracy,0.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,embedding,mrr,0.0191,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,learned_logreg,evaluated_users,24,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,learned_logreg,top1_accuracy,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,learned_logreg,top3_accuracy,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,session_link,learned_logreg,mrr,1.0,CIKM revision experiment.
graphmemshield,enterprise_health_finance,frontier_privacy_baselines,global,retrieved_edges,2304,CIKM revision experiment.
graphmemshield,enterprise_health_finance,frontier_privacy_baselines,global,leaked_edges,12,CIKM revision experiment.
graphmemshield,enterprise_health_finance,frontier_privacy_baselines,global,response_leaked_edges,6,CIKM revision experiment.
graphmemshield,enterprise_health_finance,frontier_privacy_baselines,global,response_leaked_terms,8,CIKM revision experiment.
