system,dataset,experiment,condition,metric,value
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,leaked_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,leaked_terms,38
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,response_chars,241
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,leaked_terms,12
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,response_chars,1370
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_local_abstractive,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_local_abstractive,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_local_abstractive,response_chars,265
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_local_abstractive,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_local_abstractive,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_evidence_dump,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_evidence_dump,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_evidence_dump,response_chars,3851
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_evidence_dump,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_evidence_dump,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_openai,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_openai,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_openai,response_chars,216
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_openai,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_openai,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_template,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_template,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_template,response_chars,1307
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_template,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_template,leaked_terms,20
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_local_abstractive,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_local_abstractive,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_local_abstractive,response_chars,269
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_local_abstractive,leaked_edges,4
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_local_abstractive,leaked_terms,18
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_evidence_dump,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_evidence_dump,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_evidence_dump,response_chars,3788
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_evidence_dump,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_evidence_dump,leaked_terms,20
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_openai,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_openai,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_openai,response_chars,199
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_openai,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,bounded5_openai,leaked_terms,10
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,global,accuracy,1.0
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,owner_only,accuracy,0.0
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,label_only,accuracy,1.0
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,owner_label,accuracy,1.0
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,bounded5,accuracy,0.0417
live_http_agent_memory,deployed_graphrag_trace,http_graph_qa,owner_level_budget,accuracy,0.0833
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,global_leak,snippet,agent-tfidf-rag-openai ran_model model-gpt-4-1-mini; agent-tfidf-rag-openai ran_model model-gpt-4-1-mini
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,global_leak,victim_edges_in_response,5
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,owner_only_blocked,snippet,agent-tfidf-rag-openai ran_model model-gpt-4-1-mini; agent-tfidf-rag-openai ran_model model-gpt-4-1-mini
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,owner_only_blocked,victim_edges_in_response,0
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,bounded_partial_sharing,snippet,agent-tfidf-rag-openai ran_model model-gpt-4-1-mini; agent-tfidf-rag-openai ran_model model-gpt-4-1-mini
live_http_agent_memory,deployed_graphrag_trace,http_case_examples,bounded_partial_sharing,victim_edges_in_response,5
live_http_agent_memory,deployed_graphrag_trace,http_latency,global,mean_ms_per_query,10.2735
live_http_agent_memory,deployed_graphrag_trace,http_latency,owner_only,mean_ms_per_query,2.0039
live_http_agent_memory,deployed_graphrag_trace,http_latency,bounded5,mean_ms_per_query,2.2344
